epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,22390.1,0.41155,0.29217,0.81626,0.9983,1,0.995,0.90361,0.41846,0.25393,0.8178,0.000470375,0.000470375,0.000470375
128,22491.3,0.43165,0.31195,0.82374,0.99774,1,0.995,0.91212,0.41881,0.2566,0.8196,0.000464188,0.000464188,0.000464188
129,22591.1,0.44071,0.30489,0.82021,0.9983,1,0.995,0.90944,0.4173,0.25489,0.81945,0.000458,0.000458,0.000458
130,22693,0.42018,0.29772,0.81803,0.99823,1,0.995,0.90391,0.43067,0.25568,0.81893,0.000451813,0.000451813,0.000451813
131,22776.6,0.42801,0.3016,0.82233,0.9982,1,0.995,0.90265,0.40537,0.25178,0.81635,0.000445625,0.000445625,0.000445625
132,22840.3,0.42242,0.29672,0.81113,0.99809,1,0.995,0.90642,0.41133,0.24878,0.81628,0.000439437,0.000439437,0.000439437
133,22922.3,0.40723,0.28517,0.82922,0.99717,1,0.995,0.91174,0.40168,0.24746,0.81431,0.00043325,0.00043325,0.00043325
134,22999.9,0.42255,0.29667,0.81855,0.99848,1,0.995,0.90712,0.41054,0.24753,0.81623,0.000427062,0.000427062,0.000427062
135,23113.7,0.40057,0.28102,0.81413,0.9984,1,0.995,0.89711,0.43044,0.24902,0.81805,0.000420875,0.000420875,0.000420875
136,23226.1,0.41086,0.28808,0.8145,0.99812,1,0.995,0.90666,0.40667,0.25128,0.81677,0.000414688,0.000414688,0.000414688
137,23278.7,0.4198,0.29427,0.81732,0.99803,1,0.995,0.90576,0.41557,0.25533,0.8178,0.0004085,0.0004085,0.0004085
138,23329.7,0.41085,0.29042,0.8166,0.99815,1,0.995,0.89955,0.41649,0.24302,0.81867,0.000402312,0.000402312,0.000402312
139,23373.5,0.42468,0.29398,0.81945,0.99841,1,0.995,0.90285,0.42883,0.24446,0.82031,0.000396125,0.000396125,0.000396125
140,23415.2,0.41539,0.28581,0.81519,0.99835,1,0.995,0.90261,0.43388,0.24853,0.82017,0.000389938,0.000389938,0.000389938
141,23456.6,0.42037,0.29303,0.81271,0.99837,1,0.995,0.90316,0.42127,0.24384,0.81936,0.00038375,0.00038375,0.00038375
142,23513.8,0.41806,0.28363,0.82233,0.99827,1,0.995,0.90054,0.42157,0.2476,0.8201,0.000377563,0.000377563,0.000377563
143,23592.1,0.39795,0.2848,0.81286,0.99781,1,0.995,0.90416,0.41636,0.24198,0.8177,0.000371375,0.000371375,0.000371375
144,23658.2,0.39324,0.27779,0.81199,0.99828,1,0.995,0.90447,0.41396,0.24033,0.81696,0.000365188,0.000365188,0.000365188
145,23711.1,0.41206,0.28758,0.82403,0.99826,1,0.995,0.9016,0.42034,0.24231,0.81821,0.000359,0.000359,0.000359
146,23751.6,0.41345,0.28653,0.81801,0.99771,1,0.995,0.90508,0.4108,0.2415,0.81665,0.000352812,0.000352812,0.000352812
147,23793.1,0.4031,0.28614,0.81318,0.99804,1,0.995,0.90509,0.40575,0.24124,0.81584,0.000346625,0.000346625,0.000346625
148,23834.5,0.40203,0.28167,0.80726,0.99854,1,0.995,0.90857,0.40984,0.24252,0.81625,0.000340438,0.000340438,0.000340438
